"";"data";"value"
"1";1995 Q1;2714328,08458521
"2";1995 Q2;5893263,30174684
"3";1995 Q3;8100701,15515515
"4";1995 Q4;8713753,60415878
"5";1996 Q1;7653488,04131586
"6";1996 Q2;6675515,70743247
"7";1996 Q3;5931782,33912574
"8";1996 Q4;5846613,65554523
"9";1997 Q1;6174675,66661217
"10";1997 Q2;6595033,1807086
"11";1997 Q3;7031307,58734603
"12";1997 Q4;7072060,00681699
"13";1998 Q1;6956358,96259337
"14";1998 Q2;6938608,69733793
"15";1998 Q3;6876251,74373232
"16";1998 Q4;6795893,72160003
"17";1999 Q1;6906684,92012259
"18";1999 Q2;7032910,87041565
"19";1999 Q3;7041047,18528874
"20";1999 Q4;7151249,55706119
"21";2000 Q1;7064794,12475338
"22";2000 Q2;7251161,82554493
"23";2000 Q3;7154779,06319446
"24";2000 Q4;7369276,65773907
"25";2001 Q1;7524593,35296052
"26";2001 Q2;7485361,42964244
"27";2001 Q3;7380237,82082852
"28";2001 Q4;6971623,64820252
"29";2002 Q1;7125357,68058422
"30";2002 Q2;7294962,25782601
"31";2002 Q3;7569084,49447341
"32";2002 Q4;7873087,93475996
"33";2003 Q1;7811592,12937831
"34";2003 Q2;7442156,64440509
"35";2003 Q3;7412617,40989312
"36";2003 Q4;7571147,39245177
"37";2004 Q1;7645397,71342168
"38";2004 Q2;7747041,13282773
"39";2004 Q3;7763474,9573782
"40";2004 Q4;7583861,28542265
"41";2005 Q1;7608114,18866665
"42";2005 Q2;7838021,80564309
"43";2005 Q3;7905448,04864527
"44";2005 Q4;7853846,7782365
"45";2006 Q1;8109678,89888053
"46";2006 Q2;7895730,82983115
"47";2006 Q3;7849552,74411545
"48";2006 Q4;7899400,51223577
"49";2007 Q1;8010679,01592981
"50";2007 Q2;8122695,92284062
"51";2007 Q3;8192561,73431967
"52";2007 Q4;8199754,72355861
"53";2008 Q1;8331341,68768405
"54";2008 Q2;8407790,26427533
"55";2008 Q3;8858939,07876021
"56";2008 Q4;7908155,23184842
